duration,protocol_type,service,flag,src_bytes,dst_bytes,wrong_fragment,urgent,hot,num_failed_logins,num_compromised,num_root,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,attack_type
0.15,tcp,ftp,S0,346.0,3618,0,0,0,0,0,0,25,21,0.0,0.0,0.82,0.05,21,175,Normal
0.02,tcp,ftp,REJ,60.0,0,0,0,0,0,0,0,210,3,0.78,0.5,0.05,0.96,199,13,PortScan
0.0,tcp,http,SF,64.0,0,0,0,0,0,0,0,156,251,0.83,0.04,0.97,0.02,255,112,DoS
0.1,udp,dns,SF,1411.0,2331,0,0,0,0,0,0,26,14,0.0,0.0,0.88,0.02,56,141,Normal
1.09,udp,http,SF,1001.0,661,0,0,0,0,0,0,25,15,0.04,0.03,0.83,0.02,22,154,Normal
0.32,udp,smtp,SF,596.0,3197,0,0,0,0,0,0,24,9,0.0,0.24,0.93,0.02,91,64,Normal
0.0,tcp,other,S0,512.0,0,0,0,0,0,0,0,192,186,0.89,0.16,0.93,0.06,255,81,DoS
4.08,tcp,dns,SF,2136.0,6334,0,0,0,0,0,0,13,11,0.0,0.1,0.92,0.15,77,214,Normal
0.08,tcp,other,SF,165.0,283,0,0,0,0,0,0,2,28,0.0,0.0,0.81,0.11,19,174,Normal
0.04,udp,other,SF,239.0,3444,0,0,0,0,0,0,20,13,0.02,0.0,0.92,0.13,80,162,Normal
2.06,tcp,dns,SF,1929.0,11077,0,0,0,0,0,0,1,16,0.07,0.0,0.9,0.1,51,198,Normal
0.5,tcp,ftp,REJ,0.0,0,0,0,0,0,0,0,261,7,0.51,0.83,0.12,0.89,206,5,PortScan
0.04,tcp,http,SF,2056.0,8088,0,0,0,0,0,0,31,12,0.0,0.0,0.91,0.12,38,152,Normal
0.01,tcp,smtp,SF,2665.0,1364,0,0,0,0,0,0,34,23,0.0,0.0,0.81,0.12,82,197,Normal
6.21,icmp,dns,SF,515.0,3692,0,0,0,0,0,0,4,9,0.0,0.0,0.83,0.06,35,155,Normal
