duration,protocol_type,service,flag,src_bytes,dst_bytes,wrong_fragment,urgent,hot,num_failed_logins,num_compromised,num_root,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,attack_type
0.62,tcp,ftp,S0,2536.0,2865,0,0,0,0,0,0,2,31,0.01,0.0,0.89,0.05,6,229,Normal
0.11,tcp,ftp,REJ,60.0,0,0,0,0,0,0,0,299,8,0.27,0.99,0.13,0.85,101,12,PortScan
0.89,tcp,dns,SF,3006.0,119,0,0,0,0,0,0,6,30,0.0,0.0,0.99,0.08,94,201,Normal
0.03,tcp,dns,SF,960.0,1570,0,0,0,0,0,0,21,30,0.0,0.03,0.87,0.13,63,122,Normal
1.69,tcp,http,SF,4501.0,5218,0,0,0,0,0,0,6,23,0.0,0.01,0.96,0.09,39,250,Normal
0.0,udp,http,S0,1024.0,0,0,0,0,0,0,0,431,223,0.9,0.19,0.92,0.09,255,147,DoS
0.2,tcp,ssh,SF,310.0,1777,0,0,0,0,0,0,28,7,0.0,0.0,0.89,0.08,99,73,Normal
2.24,tcp,http,SF,1533.0,1447,0,0,0,0,0,0,30,25,0.04,0.27,0.96,0.04,86,246,Normal
4.1,tcp,ssh,SF,647.0,11622,0,0,0,0,0,0,17,6,0.16,0.0,1.0,0.11,91,75,Normal
5.1,udp,smtp,REJ,621.0,3953,0,0,0,0,0,0,26,2,0.0,0.0,0.9,0.04,60,58,Normal
1.4,udp,ftp,SF,2693.0,4925,0,0,0,0,0,0,12,19,0.0,0.02,0.97,0.0,12,228,Normal
0.8,tcp,http,SF,1766.0,3001,0,0,0,0,0,0,5,1,0.14,0.0,0.84,0.01,95,91,Normal
0.45,tcp,private,REJ,60.0,0,0,0,0,0,0,0,202,3,0.35,0.77,0.08,0.81,116,18,PortScan
0.27,tcp,ftp,REJ,60.0,0,0,0,0,0,0,0,281,4,0.25,0.71,0.09,0.85,195,16,PortScan
4.69,udp,ftp,SF,2131.0,1032,0,0,0,0,0,0,32,11,0.0,0.0,0.82,0.08,37,237,Normal
0.09,udp,other,S0,123.0,8201,0,0,0,0,0,0,32,12,0.04,0.02,0.95,0.05,97,80,Normal
1.48,tcp,dns,SF,1375.0,1265,0,0,0,0,0,0,23,6,0.0,0.0,0.85,0.05,2,88,Normal
0.04,tcp,ssh,SF,2534.0,394,0,0,0,0,0,0,34,18,0.0,0.0,0.97,0.13,84,156,Normal
4.91,tcp,http,SF,593.0,8135,0,0,0,0,0,0,33,19,0.28,0.04,0.9,0.02,87,99,Normal
1.26,tcp,other,SF,1054.0,865,0,0,0,0,0,0,20,34,0.0,0.0,0.95,0.02,47,183,Normal
1.95,tcp,ftp,SF,361.0,4464,0,0,0,0,0,0,31,34,0.0,0.02,0.93,0.01,48,144,Normal
3.26,tcp,dns,SF,752.0,609,0,0,0,0,0,0,13,29,0.0,0.0,0.89,0.06,78,244,Normal
0.0,tcp,other,S0,64.0,0,0,0,0,0,0,0,384,243,0.88,0.05,0.85,0.04,255,252,DoS
1.14,tcp,ftp,SF,5928.0,6770,0,0,0,0,0,0,30,8,0.1,0.01,0.99,0.02,91,53,Normal
38.47,tcp,private,S0,191.0,259,0,0,0,0,0,0,90,25,0.03,0.16,0.71,0.48,255,16,Botnet
0.39,tcp,ssh,SF,4048.0,3836,0,0,0,0,0,0,27,31,0.0,0.22,0.95,0.02,59,52,Normal
3.26,tcp,smtp,SF,2457.0,4411,0,0,0,0,0,0,32,25,0.0,0.0,0.99,0.08,66,236,Normal
1.36,tcp,ssh,SF,4173.0,587,0,0,0,0,0,0,1,24,0.01,0.0,0.84,0.07,71,163,Normal
1.24,tcp,http,SF,4099.0,856,0,0,0,0,0,0,7,23,0.05,0.0,0.83,0.11,60,87,Normal
5.7,tcp,smtp,REJ,778.0,300,0,0,1,2,2,0,37,69,0.16,0.23,0.89,0.04,90,74,BruteForce
1.83,tcp,dns,SF,1852.0,5876,0,0,0,0,0,0,28,2,0.0,0.0,0.85,0.07,51,51,Normal
0.39,udp,http,SF,2398.0,2554,0,0,0,0,0,0,33,33,0.0,0.0,0.92,0.06,54,111,Normal
4.18,udp,ssh,SF,2114.0,2324,0,0,0,0,0,0,4,13,0.03,0.0,0.88,0.08,51,107,Normal
0.82,tcp,ssh,SF,1227.0,813,0,0,0,0,0,0,24,17,0.08,0.0,0.81,0.05,69,215,Normal
3.15,udp,ssh,SF,1224.0,4292,0,0,0,0,0,0,3,29,0.03,0.0,0.85,0.08,34,251,Normal
0.31,udp,other,SF,1087.0,835,0,0,0,0,0,0,14,21,0.0,0.24,0.99,0.03,33,197,Normal
0.33,tcp,http,SF,724.0,6070,0,0,0,0,0,0,31,8,0.0,0.0,0.85,0.14,34,118,Normal
0.0,tcp,private,S0,64.0,0,0,0,0,0,0,0,233,502,0.93,0.04,0.92,0.09,255,13,DoS
0.57,tcp,http,SF,106.0,4670,0,0,0,0,0,0,28,22,0.0,0.0,0.88,0.14,38,197,Normal
1.15,tcp,other,SF,1062.0,4912,0,0,0,0,0,0,12,31,0.0,0.0,0.85,0.08,1,184,Normal
0.42,tcp,ftp,SF,1986.0,7846,0,0,0,0,0,0,6,20,0.0,0.01,0.8,0.15,4,223,Normal
2.74,tcp,other,SF,1841.0,2065,0,0,0,0,0,0,29,12,0.0,0.0,0.84,0.12,94,246,Normal
0.43,udp,ssh,SF,145.0,2451,0,0,0,0,0,0,1,15,0.0,0.01,0.84,0.07,45,144,Normal
2.09,udp,ftp,SF,2153.0,4115,0,0,0,0,0,0,2,4,0.0,0.0,0.85,0.05,59,227,Normal
0.09,tcp,ftp,S0,60.0,0,0,0,0,0,0,0,229,1,0.55,0.65,0.05,0.71,191,12,PortScan
0.86,tcp,ssh,SF,2573.0,2081,0,0,0,0,0,0,28,13,0.0,0.01,0.88,0.11,34,123,Normal
0.34,tcp,http,SF,397.0,5572,0,0,0,0,0,0,5,23,0.0,0.0,0.81,0.06,89,212,Normal
1.38,tcp,smtp,SF,68.0,3819,0,0,0,0,0,0,19,31,0.02,0.0,0.91,0.1,7,83,Normal
0.8,udp,http,SF,512.0,395,0,0,0,0,0,0,19,19,0.0,0.0,0.87,0.13,57,244,Normal
2.76,udp,dns,SF,1960.0,2107,0,0,0,0,0,0,8,16,0.0,0.0,0.93,0.08,13,234,Normal
2.62,tcp,other,SF,873.0,1615,0,0,0,0,0,0,22,13,0.0,0.0,0.89,0.0,72,216,Normal
0.51,icmp,dns,SF,650.0,10669,0,0,0,0,0,0,7,6,0.0,0.06,0.97,0.11,44,95,Normal
0.32,tcp,http,REJ,40.0,0,0,0,0,0,0,0,222,5,0.73,0.63,0.16,0.83,246,17,PortScan
1.82,tcp,ftp,SF,1973.0,3009,0,0,0,0,0,0,11,6,0.01,0.0,0.87,0.03,97,68,Normal
0.8,udp,ssh,SF,2149.0,9102,0,0,0,0,0,0,8,5,0.0,0.0,0.9,0.15,88,139,Normal
1.24,tcp,smtp,SF,48.0,988,0,0,0,0,0,0,8,21,0.0,0.0,0.99,0.03,62,208,Normal
0.36,tcp,ssh,SF,5336.0,4117,0,0,0,0,0,0,7,17,0.0,0.12,0.94,0.01,68,87,Normal
0.43,tcp,smtp,SF,1415.0,3992,0,0,0,0,0,0,19,27,0.0,0.0,0.95,0.07,33,123,Normal
3.2,icmp,ftp,SF,939.0,2251,0,0,0,0,0,0,4,5,0.0,0.0,0.99,0.12,81,193,Normal
1.22,udp,ssh,SF,162.0,4151,0,0,0,0,0,0,24,10,0.0,0.0,0.83,0.05,15,114,Normal
3.51,tcp,smtp,SF,571.0,6151,0,0,0,0,0,0,8,14,0.0,0.0,0.87,0.02,86,249,Normal
0.78,icmp,ftp,SF,271.0,334,0,0,0,0,0,0,32,4,0.0,0.0,0.99,0.06,62,229,Normal
1.96,tcp,ftp,SF,2064.0,1418,0,0,0,0,0,0,2,5,0.02,0.0,0.88,0.06,29,159,Normal
0.37,tcp,smtp,SF,472.0,888,0,0,0,0,0,0,15,33,0.0,0.0,0.82,0.05,61,178,Normal
0.05,tcp,http,S0,0.0,0,0,0,0,0,0,0,88,3,0.7,0.87,0.2,0.78,135,17,PortScan
7.05,tcp,ftp,SF,1337.0,6408,0,0,0,0,0,0,14,21,0.09,0.04,0.88,0.01,72,230,Normal
1.82,tcp,http,SF,1125.0,10946,0,0,0,0,0,0,22,10,0.0,0.0,0.84,0.08,86,107,Normal
0.2,tcp,other,REJ,60.0,0,0,0,0,0,0,0,60,2,0.51,0.71,0.15,0.85,205,13,PortScan
4.0,udp,dns,SF,1016.0,2637,0,0,0,0,0,0,4,30,0.0,0.0,0.94,0.04,56,72,Normal
1.62,udp,ftp,SF,370.0,5392,0,0,0,0,0,0,20,11,0.0,0.0,0.86,0.14,86,51,Normal
0.83,udp,http,SF,1439.0,10978,0,0,0,0,0,0,25,26,0.04,0.03,0.87,0.11,9,117,Normal
2.63,icmp,ftp,SF,1727.0,281,0,0,0,0,0,0,22,6,0.0,0.02,0.91,0.09,72,219,Normal
1.1,tcp,smtp,SF,363.0,19318,0,0,0,0,0,0,32,20,0.01,0.0,0.81,0.06,43,65,Normal
4.27,tcp,smtp,REJ,666.0,734,0,0,3,5,0,0,22,91,0.0,0.3,0.81,0.03,68,68,BruteForce
2.27,udp,smtp,SF,470.0,20342,0,0,0,0,0,0,34,17,0.01,0.04,0.95,0.1,39,114,Normal
3.38,tcp,dns,SF,266.0,9942,0,0,0,0,0,0,1,13,0.0,0.0,0.96,0.03,47,199,Normal
1.71,tcp,http,SF,410.0,1348,0,0,0,0,0,0,13,32,0.0,0.01,0.9,0.02,22,159,Normal
0.78,tcp,dns,SF,817.0,9061,0,0,0,0,0,0,21,33,0.0,0.0,0.98,0.12,8,155,Normal
0.29,icmp,other,SF,568.0,2871,0,0,0,0,0,0,23,33,0.0,0.04,0.92,0.1,45,148,Normal
0.44,tcp,http,SF,50.0,1424,0,0,0,0,0,0,4,33,0.01,0.0,0.89,0.05,32,173,Normal
1.92,tcp,smtp,SF,725.0,2724,0,0,0,0,0,0,11,21,0.0,0.08,0.87,0.03,36,205,Normal
4.2,udp,ssh,REJ,2234.0,8826,0,0,0,0,0,0,28,20,0.0,0.11,0.96,0.0,5,198,Normal
0.45,tcp,ftp,SF,316.0,4834,0,0,0,0,0,0,33,24,0.17,0.0,0.86,0.09,55,126,Normal
0.04,udp,other,SF,1901.0,2261,0,0,0,0,0,0,6,6,0.0,0.0,0.91,0.01,15,130,Normal
6.11,tcp,other,SF,3430.0,9483,0,0,0,0,0,0,6,7,0.0,0.0,0.87,0.09,37,234,Normal
5.53,udp,smtp,SF,2265.0,1105,0,0,0,0,0,0,22,28,0.0,0.02,0.84,0.09,54,170,Normal
2.14,tcp,smtp,SF,1425.0,6698,0,0,0,0,0,0,2,13,0.0,0.0,0.89,0.05,91,176,Normal
2.93,udp,smtp,SF,2028.0,4247,0,0,0,0,0,0,21,7,0.16,0.0,0.95,0.08,89,245,Normal
1.04,tcp,ssh,SF,2713.0,669,0,0,0,0,0,0,9,3,0.0,0.0,0.84,0.12,38,228,Normal
12.33,tcp,smtp,SF,581.0,1100,0,0,2,2,0,0,36,88,0.07,0.05,0.95,0.06,100,113,BruteForce
9.28,tcp,ftp,REJ,541.0,799,0,0,5,5,0,0,91,65,0.12,0.3,0.98,0.04,40,81,BruteForce
3.11,tcp,ftp,SF,267.0,606,0,0,5,2,0,0,42,24,0.17,0.0,0.91,0.04,81,148,BruteForce
1.73,udp,http,SF,80.0,4786,0,0,0,0,0,0,24,33,0.0,0.0,0.98,0.11,83,207,Normal
0.95,udp,http,SF,1319.0,748,0,0,0,0,0,0,22,11,0.0,0.0,0.88,0.12,27,250,Normal
0.0,tcp,other,S0,0.0,0,0,0,0,0,0,0,496,385,0.97,0.17,0.87,0.02,255,81,DoS
0.94,tcp,http,SF,252.0,2837,0,0,0,0,0,0,7,25,0.0,0.37,0.81,0.14,66,230,Normal
0.86,icmp,dns,SF,854.0,1081,0,0,0,0,0,0,13,7,0.0,0.0,0.8,0.04,82,190,Normal
2.05,tcp,ftp,SF,475.0,11977,0,0,0,0,0,0,2,1,0.0,0.18,0.91,0.04,30,100,Normal
3.0,tcp,ssh,SF,2423.0,13658,0,0,0,0,0,0,14,4,0.02,0.0,0.88,0.15,61,62,Normal
1.4,icmp,http,SF,1909.0,6116,0,0,0,0,0,0,25,3,0.0,0.0,0.9,0.02,23,214,Normal
0.68,udp,dns,SF,583.0,4923,0,0,0,0,0,0,31,27,0.0,0.0,0.87,0.0,98,111,Normal
0.52,tcp,ssh,SF,8841.0,7848,0,0,0,0,0,0,13,21,0.0,0.0,0.87,0.09,19,150,Normal
0.51,tcp,ssh,SF,748.0,3247,0,0,0,0,0,0,8,26,0.02,0.04,0.93,0.07,73,176,Normal
0.51,tcp,ftp,SF,1037.0,9999,0,0,0,0,0,0,30,23,0.16,0.01,0.88,0.08,53,163,Normal
0.05,udp,smtp,SF,988.0,4131,0,0,0,0,0,0,32,20,0.0,0.02,0.86,0.01,57,60,Normal
0.57,tcp,dns,SF,3753.0,6776,0,0,0,0,0,0,22,13,0.01,0.0,0.86,0.12,36,224,Normal
0.0,tcp,private,S0,64.0,0,0,0,0,0,0,0,365,192,0.79,0.17,0.88,0.03,255,247,DoS
0.03,udp,other,SF,2547.0,1730,0,0,0,0,0,0,12,13,0.0,0.13,1.0,0.01,76,140,Normal
0.12,tcp,ftp,SF,444.0,5287,0,0,0,0,0,0,1,33,0.0,0.01,0.91,0.01,50,231,Normal
3.0,udp,other,SF,1286.0,2819,0,0,0,0,0,0,17,20,0.01,0.0,0.89,0.08,39,72,Normal
1.39,tcp,smtp,SF,2190.0,7427,0,0,0,0,0,0,15,8,0.0,0.03,0.88,0.03,18,126,Normal
3.26,udp,ftp,SF,270.0,5389,0,0,0,0,0,0,12,22,0.0,0.0,0.99,0.03,61,206,Normal
1.1,udp,ftp,SF,1000.0,6249,0,0,0,0,0,0,2,32,0.04,0.0,0.95,0.12,21,125,Normal
0.39,tcp,ssh,REJ,0.0,0,0,0,0,0,0,0,132,5,0.67,0.93,0.2,0.95,163,9,PortScan
1.11,tcp,smtp,SF,1074.0,8882,0,0,0,0,0,0,8,16,0.0,0.0,0.84,0.13,54,160,Normal
5.25,tcp,ftp,SF,739.0,1058,0,0,4,5,0,0,90,73,0.16,0.33,0.97,0.05,89,44,BruteForce
3.35,tcp,http,SF,2319.0,13475,0,0,0,0,0,0,1,14,0.01,0.0,0.98,0.01,20,133,Normal
0.08,udp,dns,SF,884.0,424,0,0,0,0,0,0,12,15,0.0,0.0,0.9,0.12,16,190,Normal
1.44,udp,dns,SF,746.0,13076,0,0,0,0,0,0,11,30,0.01,0.0,0.84,0.1,71,207,Normal
1.95,tcp,http,SF,4694.0,1271,0,0,0,0,0,0,5,28,0.0,0.19,0.97,0.12,47,215,Normal
7.69,tcp,other,SF,560.0,6848,0,0,0,0,0,0,20,31,0.0,0.0,0.97,0.02,86,228,Normal
3.35,tcp,ssh,SF,322.0,1199,0,0,0,0,0,0,14,30,0.12,0.0,0.81,0.07,27,76,Normal
1.37,tcp,http,REJ,589.0,4946,0,0,0,0,0,0,32,1,0.0,0.0,1.0,0.14,68,126,Normal
5.65,udp,smtp,SF,140.0,16045,0,0,0,0,0,0,12,12,0.0,0.03,0.99,0.14,52,69,Normal
0.15,udp,dns,SF,4484.0,9352,0,0,0,0,0,0,32,10,0.0,0.0,0.9,0.1,92,194,Normal
3.58,udp,ssh,S0,3787.0,6506,0,0,0,0,0,0,17,27,0.0,0.0,1.0,0.11,53,250,Normal
7.4,tcp,other,SF,2838.0,802,0,0,0,0,0,0,21,4,0.0,0.0,0.89,0.14,50,174,Normal
8.66,icmp,ssh,SF,628.0,5833,0,0,0,0,0,0,2,33,0.01,0.02,0.89,0.04,81,206,Normal
0.0,icmp,private,S0,512.0,0,0,0,0,0,0,0,504,409,0.97,0.1,0.96,0.01,255,10,DoS
5.43,tcp,other,SF,224.0,3447,0,0,0,0,0,0,22,21,0.0,0.0,0.97,0.05,69,153,Normal
0.01,icmp,ssh,SF,1538.0,1450,0,0,0,0,0,0,2,15,0.18,0.0,0.81,0.08,68,245,Normal
0.79,tcp,ftp,SF,2624.0,1783,0,0,0,0,0,0,23,15,0.1,0.13,1.0,0.05,16,106,Normal
58.38,tcp,private,SF,170.0,61,0,0,1,0,1,0,22,10,0.22,0.27,0.66,0.22,255,7,Botnet
2.85,tcp,ssh,REJ,675.0,340,0,0,0,0,0,0,17,12,0.01,0.04,0.93,0.09,9,212,Normal
0.59,tcp,smtp,SF,5663.0,566,0,0,0,0,0,0,3,30,0.0,0.0,0.96,0.04,4,116,Normal
2.39,tcp,other,SF,165.0,6497,0,0,0,0,0,0,3,22,0.02,0.0,1.0,0.02,23,76,Normal
1.26,tcp,dns,SF,85.0,8573,0,0,0,0,0,0,10,27,0.0,0.0,0.97,0.13,88,165,Normal
1.46,tcp,dns,SF,3426.0,10314,0,0,0,0,0,0,8,27,0.0,0.0,0.99,0.05,20,134,Normal
2.74,tcp,ftp,SF,1142.0,3780,0,0,0,0,0,0,22,3,0.13,0.0,0.93,0.01,48,99,Normal
1.99,tcp,http,SF,619.0,9949,0,0,0,0,0,0,2,6,0.0,0.0,0.9,0.02,68,207,Normal
109.93,tcp,other,SF,117.0,64,0,0,1,0,0,0,51,12,0.12,0.13,0.52,0.4,255,11,Botnet
0.91,tcp,ftp,SF,2540.0,2536,0,0,0,0,0,0,29,7,0.1,0.0,0.86,0.09,34,179,Normal
2.17,udp,other,SF,1278.0,1594,0,0,0,0,0,0,30,28,0.0,0.0,0.89,0.09,72,99,Normal
7.12,udp,ftp,SF,862.0,595,0,0,0,0,0,0,21,27,0.05,0.0,0.93,0.04,69,68,Normal
3.37,udp,dns,SF,388.0,1563,0,0,0,0,0,0,24,28,0.0,0.05,0.86,0.06,91,164,Normal
2.4,tcp,ftp,SF,2454.0,9046,0,0,0,0,0,0,32,3,0.02,0.0,0.98,0.09,70,203,Normal
2.98,udp,ftp,SF,276.0,8802,0,0,0,0,0,0,24,14,0.0,0.0,0.85,0.02,70,163,Normal
3.1,tcp,ssh,SF,2789.0,5951,0,0,0,0,0,0,18,26,0.0,0.0,0.95,0.03,27,180,Normal
5.01,tcp,smtp,SF,1012.0,2957,0,0,0,0,0,0,17,11,0.0,0.0,0.9,0.13,47,158,Normal
0.01,icmp,dns,SF,95.0,8754,0,0,0,0,0,0,19,33,0.0,0.36,0.84,0.07,67,253,Normal
2.08,tcp,dns,SF,320.0,1847,0,0,0,0,0,0,7,17,0.0,0.0,0.95,0.05,7,145,Normal
0.03,tcp,other,SF,184.0,819,0,0,0,0,0,0,18,4,0.0,0.01,0.99,0.0,58,132,Normal
1.18,tcp,http,SF,99.0,1309,0,0,0,0,0,0,4,16,0.03,0.0,1.0,0.11,16,106,Normal
2.36,udp,smtp,SF,6469.0,1695,0,0,0,0,0,0,4,2,0.0,0.0,1.0,0.08,91,194,Normal
1.4,udp,smtp,SF,1074.0,5199,0,0,0,0,0,0,15,19,0.0,0.0,0.84,0.01,37,183,Normal
6.98,tcp,ssh,SF,563.0,264,0,0,2,3,0,0,67,96,0.03,0.0,0.83,0.05,57,57,BruteForce
0.62,tcp,ssh,SF,1051.0,2757,0,0,0,0,0,0,15,18,0.0,0.01,0.92,0.02,45,229,Normal
0.46,tcp,dns,SF,3953.0,4786,0,0,0,0,0,0,32,15,0.07,0.1,0.95,0.04,49,67,Normal
